 samples "o - mean" "o - var" "o - max" "o - min" "o - spread" "o - mad" "o - kurtosis" "o - skew" "o - median" "o - first quantile" "o - last quantile" "o - sum" "d - mean" "d - var" "d - max" "d - min" "d - spread" "d - mad" "d - kurtosis" "d - skew" "d - median" "d - first quantile" "d - last quantile" "d - sum" "rm - mean" "rm - var" "rm - max" "rm - min" "rm - spread" "rm - mad" "rm - kurtosis" "rm - skew" "rm - median" "rm - first quantile" "rm - last quantile" "rm - sum" label
66 42 714.7619047619047 129.70521541950114 740.0 695.0 45.0 9.54648526077097 -0.6440882653185955 -0.12263116276558647 715.0 710.0 725.0 30020.0 -0.8333333333333334 34.42460317460317 10.0 -15.0 25.0 4.4444444444444455 0.11505784451328528 -0.3814790743644641 0.0 -5.0 3.75 -35.0 718.309523809524 57.713718820861686 731.5 699.5 32.0 6.1043083900226724 -0.1398151615306391 -0.2835664793431668 719.25 714.0 722.875 0
67 41 745.3658536585367 338.2807852468768 770.0 700.0 70.0 15.18143961927424 -0.34965836633863256 -0.8079367962654224 750.0 730.0 760.0 30560.0 0.975609756097561 58.804283164782866 15.0 -15.0 30.0 6.0678167757287325 -0.5054480854561909 -0.08624835112468092 0.0 -5.0 5.0 40.0 740.7439024390244 457.16002379536 763.5 698.5 65.0 18.38607971445568 -0.7749186336677711 -0.8777070818505183 752.0 724.5 755.0 0
68 41 726.0975609756098 653.0636525877453 780.0 690.0 90.0 21.041046995835817 -0.7956209936393446 0.5270811419069318 725.0 705.0 740.0 29770.0 0.975609756097561 90.51160023795363 20.0 -25.0 45.0 7.781082688875669 -0.15080521291437954 -0.3228822960050745 5.0 -5.0 5.0 40.0 723.390243902439 192.6891731112433 748.5 699.0 49.5 11.892920880428314 -1.0352520832553884 -0.23474136002129264 725.5 714.0 734.5 0
69 40 742.125 924.859375 800.0 695.0 105.0 27.1625 -1.3331944593530678 0.09590827374165027 745.0 710.0 765.0 29685.0 -1.75 155.6875 20.0 -35.0 55.0 10.0 -0.06634659563670464 -0.18778110480144825 -2.5 -10.0 5.0 -70.0 745.6125 572.54359375 774.5 706.5 68.0 21.218125 -1.419026605529328 -0.2590726215952225 745.5 723.625 769.0 0
70 43 704.4186046511627 257.22011898323416 735.0 675.0 60.0 13.510005408328832 -0.8544307120181456 0.4900254531254478 700.0 695.0 717.5 30290.0 0.0 46.511627906976734 15.0 -15.0 30.0 5.116279069767441 -0.04374999999999973 -0.10997158723961384 0.0 -5.0 5.0 0.0 707.9767441860464 202.85992428339642 738.5 690.0 48.5 12.7658193618172 -1.260898624061604 0.3835413437435404 705.5 694.25 721.75 0
71 44 687.9545454545455 434.452479338843 715.0 645.0 70.0 18.192148760330568 -1.0272014580382338 -0.6251115997619631 695.0 670.0 705.0 30270.0 -1.25 58.09659090909091 10.0 -15.0 25.0 6.477272727272728 -1.0015602489224718 -0.2285526368806591 0.0 -6.25 5.0 -55.0 691.5 186.0909090909091 708.0 663.5 44.5 11.795454545454545 -0.8250731049453619 -0.7362302259337568 697.5 682.25 702.5 0
72 46 642.5 226.90217391304347 685.0 625.0 60.0 11.304347826086955 0.9041528918211488 1.2426624466703158 640.0 630.0 645.0 29555.0 0.7608695652173914 22.790642722117205 15.0 -5.0 20.0 3.818525519848772 0.10568171648740243 0.591767813797646 0.0 -5.0 5.0 35.0 641.5217391304348 126.97778827977314 668.5 628.5 40.0 9.068998109640829 -0.3638961345521477 0.778198995995641 640.0 631.625 647.25 0
73 41 743.9024390243902 770.1368233194528 785.0 690.0 95.0 23.426531826293875 -1.0335431450523234 -0.3627351944846746 750.0 725.0 770.0 30500.0 1.3414634146341464 30.517549077929807 15.0 -10.0 25.0 4.6757882212968465 -0.5386614684860294 0.2156560723661944 0.0 -5.0 5.0 55.0 736.170731707317 1136.422070196312 777.0 670.5 106.5 30.027959547888173 -1.2041102065113292 -0.4291313802298755 747.5 707.0 766.0 0
74 42 707.1428571428571 377.5510204081632 740.0 680.0 60.0 17.448979591836732 -1.3539481373265134 0.3639809146000948 700.0 690.0 725.0 29700.0 -1.3095238095238095 16.737528344671198 5.0 -10.0 15.0 3.4637188208616774 -0.7121521178180337 -0.006603283565218382 0.0 -5.0 0.0 -55.0 713.5238095238095 405.14229024943313 747.0 686.0 61.0 18.263038548752835 -1.4931880523895344 0.10926734431619807 711.75 693.75 733.25 0
75 43 703.7209302325581 133.829096809086 725.0 685.0 40.0 10.086533261222279 -1.1960169726359395 0.008213343159927807 700.0 695.0 715.0 30260.0 0.813953488372093 20.84910762574365 10.0 -10.0 20.0 3.580313683071931 -0.11651703028559668 -0.3266958644909532 0.0 0.0 5.0 35.0 700.1511627906976 121.78528934559219 718.5 685.0 33.5 9.54083288263926 -1.2525752380246005 0.20748299349106794 699.0 690.5 709.75 0
